N,prediction.order,seconds,algorithm
10000,unsorted,0.0009054,Logistic
10000,unsorted,0.00077648,Logistic
10000,unsorted,0.00070672,Logistic
10000,unsorted,0.03470276,Functional
10000,unsorted,0.033917,Functional
10000,unsorted,0.03433608,Functional
10000,unsorted,0.000768,Logistic
10000,unsorted,0.04273384,Functional
10000,unsorted,0.03425216,Functional
10000,unsorted,0.03281232,Functional
10000,unsorted,0.00077224,Logistic
10000,unsorted,0.03389284,Functional
10000,unsorted,0.037595,Functional
10000,unsorted,0.00077124,Logistic
10000,unsorted,0.00072812,Logistic
10000,unsorted,0.0329938,Functional
10000,unsorted,0.0008286,Logistic
10000,unsorted,0.00078304,Logistic
10000,unsorted,0.00074404,Logistic
10000,unsorted,0.03339612,Functional
31622,sorted,0.00249448,Logistic
31622,sorted,0.00228244,Logistic
31622,sorted,0.04120096,Functional
31622,sorted,0.04160656,Functional
31622,sorted,0.00244256,Logistic
31622,sorted,0.00240964,Logistic
31622,sorted,0.00223984,Logistic
31622,sorted,0.04073732,Functional
31622,sorted,0.04664868,Functional
31622,sorted,0.04123332,Functional
31622,sorted,0.040507,Functional
31622,sorted,0.00244772,Logistic
31622,sorted,0.041999,Functional
31622,sorted,0.04580564,Functional
31622,sorted,0.04154224,Functional
31622,sorted,0.04070504,Functional
31622,sorted,0.00245032,Logistic
31622,sorted,0.00232376,Logistic
31622,sorted,0.00233584,Logistic
31622,sorted,0.00231984,Logistic
31622,unsorted,0.0024622,Logistic
31622,unsorted,0.04274888,Functional
31622,unsorted,0.00246452,Logistic
31622,unsorted,0.00233876,Logistic
31622,unsorted,0.00233152,Logistic
31622,unsorted,0.04323,Functional
31622,unsorted,0.0432602,Functional
31622,unsorted,0.00250716,Logistic
31622,unsorted,0.00228796,Logistic
31622,unsorted,0.0023168,Logistic
31622,unsorted,0.04876108,Functional
31622,unsorted,0.0422574,Functional
31622,unsorted,0.0428914,Functional
31622,unsorted,0.00254772,Logistic
31622,unsorted,0.04230976,Functional
31622,unsorted,0.04734092,Functional
31622,unsorted,0.00253748,Logistic
31622,unsorted,0.00245944,Logistic
31622,unsorted,0.04147916,Functional
31622,unsorted,0.0424398,Functional
100000,sorted,0.069911,Functional
100000,sorted,0.00780516,Logistic
100000,sorted,0.0701856,Functional
100000,sorted,0.07218032,Functional
100000,sorted,0.00795936,Logistic
100000,sorted,0.00760284,Logistic
100000,sorted,0.07701828,Functional
100000,sorted,0.0694338,Functional
100000,sorted,0.00773856,Logistic
100000,sorted,0.0078224,Logistic
100000,sorted,0.07207832,Functional
100000,sorted,0.00782252,Logistic
100000,sorted,0.00785644,Logistic
100000,sorted,0.00758532,Logistic
100000,sorted,0.07071824,Functional
100000,sorted,0.00775,Logistic
100000,sorted,0.08277692,Functional
100000,sorted,0.00794088,Logistic
100000,sorted,0.07322868,Functional
100000,sorted,0.07381376,Functional
100000,unsorted,0.00763828,Logistic
100000,unsorted,0.07202836,Functional
100000,unsorted,0.07395664,Functional
100000,unsorted,0.00776912,Logistic
100000,unsorted,0.00761396,Logistic
100000,unsorted,0.00762424,Logistic
100000,unsorted,0.00761364,Logistic
100000,unsorted,0.07411116,Functional
100000,unsorted,0.07924164,Functional
100000,unsorted,0.07341204,Functional
100000,unsorted,0.07186136,Functional
100000,unsorted,0.07393708,Functional
100000,unsorted,0.00776476,Logistic
100000,unsorted,0.00764132,Logistic
100000,unsorted,0.00760568,Logistic
100000,unsorted,0.0794324,Functional
100000,unsorted,0.07250872,Functional
100000,unsorted,0.07202044,Functional
100000,unsorted,0.00776568,Logistic
100000,unsorted,0.00759096,Logistic
316227,sorted,0.18903248,Functional
316227,sorted,0.18340048,Functional
316227,sorted,0.18703244,Functional
316227,sorted,0.18730124,Functional
316227,sorted,0.1835608,Functional
316227,sorted,0.18689804,Functional
316227,sorted,0.18073592,Functional
316227,sorted,0.02523076,Logistic
316227,sorted,0.02550292,Logistic
316227,sorted,0.183788,Functional
316227,sorted,0.02674252,Logistic
316227,sorted,0.21933388,Functional
316227,sorted,0.02592116,Logistic
316227,sorted,0.02533004,Logistic
316227,sorted,0.02561892,Logistic
316227,sorted,0.02533796,Logistic
316227,sorted,0.18036528,Functional
316227,sorted,0.0256176,Logistic
316227,sorted,0.02515348,Logistic
316227,sorted,0.02619356,Logistic
316227,unsorted,0.19730244,Functional
316227,unsorted,0.02543916,Logistic
316227,unsorted,0.0269736,Logistic
316227,unsorted,0.20205052,Functional
316227,unsorted,0.20326708,Functional
316227,unsorted,0.02688116,Logistic
316227,unsorted,0.21069144,Functional
316227,unsorted,0.20351672,Functional
316227,unsorted,0.21345652,Functional
316227,unsorted,0.2066782,Functional
316227,unsorted,0.02700556,Logistic
316227,unsorted,0.02563952,Logistic
316227,unsorted,0.26810544,Functional
316227,unsorted,0.0282044,Logistic
316227,unsorted,0.201355,Functional
316227,unsorted,0.0256188,Logistic
316227,unsorted,0.0254168,Logistic
316227,unsorted,0.02595036,Logistic
316227,unsorted,0.21720732,Functional
316227,unsorted,0.02578,Logistic
1000000,sorted,0.085169,Logistic
1000000,sorted,0.08253328,Logistic
1000000,sorted,0.08381472,Logistic
1000000,sorted,0.08231532,Logistic
1000000,sorted,0.08364244,Logistic
1000000,sorted,0.08289408,Logistic
1000000,sorted,0.08498228,Logistic
1000000,sorted,0.56869632,Functional
1000000,sorted,0.62937272,Functional
1000000,sorted,0.08996984,Logistic
1000000,sorted,0.58503312,Functional
1000000,sorted,0.60855792,Functional
1000000,sorted,0.53752568,Functional
1000000,sorted,0.55118112,Functional
1000000,sorted,0.6102284,Functional
1000000,sorted,0.08420284,Logistic
1000000,sorted,0.08322424,Logistic
1000000,sorted,0.60429296,Functional
1000000,sorted,0.54942684,Functional
1000000,sorted,0.55277696,Functional
1000000,unsorted,0.08194736,Logistic
1000000,unsorted,0.63326104,Functional
1000000,unsorted,0.08184764,Logistic
1000000,unsorted,0.64244088,Functional
1000000,unsorted,0.7033382,Functional
1000000,unsorted,0.08228056,Logistic
1000000,unsorted,0.083317,Logistic
1000000,unsorted,0.082974,Logistic
1000000,unsorted,0.6413462,Functional
1000000,unsorted,0.69715016,Functional
1000000,unsorted,0.0818536,Logistic
1000000,unsorted,0.08213552,Logistic
1000000,unsorted,0.64380476,Functional
1000000,unsorted,0.08232276,Logistic
1000000,unsorted,0.70165312,Functional
1000000,unsorted,0.08270792,Logistic
1000000,unsorted,0.64159492,Functional
1000000,unsorted,0.08197196,Logistic
1000000,unsorted,0.63698448,Functional
1000000,unsorted,0.70381544,Functional
3162277,sorted,0.26146172,Logistic
3162277,sorted,0.26844036,Logistic
3162277,sorted,0.26842084,Logistic
3162277,sorted,0.2889486,Logistic
3162277,sorted,0.28735824,Logistic
3162277,sorted,0.26717328,Logistic
3162277,sorted,0.2594684,Logistic
3162277,sorted,0.26228872,Logistic
3162277,sorted,0.26386872,Logistic
3162277,sorted,0.26214104,Logistic
3162277,unsorted,0.26256736,Logistic
3162277,unsorted,0.2660282,Logistic
3162277,unsorted,0.27258576,Logistic
3162277,unsorted,0.28951908,Logistic
3162277,unsorted,0.28962408,Logistic
3162277,unsorted,0.26212172,Logistic
3162277,unsorted,0.26394472,Logistic
3162277,unsorted,0.26057984,Logistic
3162277,unsorted,0.26123508,Logistic
3162277,unsorted,0.2680856,Logistic
10000000,sorted,0.91800512,Logistic
10000000,sorted,0.9313946,Logistic
10000000,sorted,0.93796356,Logistic
10000000,sorted,0.9895676,Logistic
10000000,sorted,0.9221004,Logistic
10000000,sorted,0.96104408,Logistic
10000000,sorted,0.95458944,Logistic
10000000,sorted,0.92983784,Logistic
10000000,sorted,0.94605308,Logistic
10000000,sorted,0.93186,Logistic
10000000,unsorted,0.91457108,Logistic
10000000,unsorted,0.9184458,Logistic
10000000,unsorted,0.925721,Logistic
10000000,unsorted,0.9513424,Logistic
10000000,unsorted,0.91773968,Logistic
10000000,unsorted,0.93864908,Logistic
10000000,unsorted,0.92094184,Logistic
10000000,unsorted,0.94610524,Logistic
10000000,unsorted,0.91542904,Logistic
10000000,unsorted,0.93750444,Logistic
